,0
519,"#美国##医疗##卫生##套路##硅谷#
硅谷顶级投资人：美国卫生系统有严重缺陷，仍沿用百年前的老套路，更多详情：O网页链接
来源：每日邮报"
520,
521,"健康饮食：做菜少放盐 #健康# #心血管# #医疗# #生活#

吃盐过多会导致血压升高，增加心脏病和中风风险。世卫建议成人每天食盐摄入量不超过5克（约一茶匙）。人们在烹饪时应少放盐，减少使用酱油等咸味调味品；在购买罐头、蔬菜干、坚果等食物时，尽量挑选不添加盐和糖的品种；餐桌上不摆放盐瓶和含盐调味品；检查食品标签，选择低钠产品。 收起全文d"
522,#医学教育# #医学生# #临床医学# #白医在线# #医疗# 如何正确穿脱隔离服，看完才知道原来医护人员是多么不易，为医护人员点赞医学生 L白医在线的微博视频
523,
524,"大家早上好！近期相信大家对A股的走势有一定的担忧！毕竟让疫情搞的外忧内患。也有很多一些技术派的投资者担忧会出现C浪也就所谓的第三次下跌的形态出现！ 对此！我再次说下我的观点；目前上证指数和创业板指数都未跌破20日均线，仍处于缓慢上升的态势中,目前仍是做多的一种格局！操作上，只要上证指数未跌破20日均线，就可继续做多个股。跌破再空仓观望！进可攻，退可守！精选个股上，可继续关注医药医疗，科技芯片！！！#医药# #医疗# #致敬疫情前线医护人员#

上证指数 sh000001 收起全文d"
525,
526,"话说刚接到耳科医生的电话, 算下来从去看病到现在已经大半年了, #NHS# 的效率真让人捉急。

娃从去年9月中抱怨耳鸣, 为娘的一刻不敢大意, 立马拉着去看了GP。GP没看出个所以然来, 说给预约专家。结果一约约到了5个月后的2月份。拉着去专家那儿进行了一系列的听力测试, 测试结果都挺正常。负责测试的人不算医生, 说会把结果反馈给医生, 再看一下步。这不, 测试过去2个月了, 我以为都不了了之了, 终于接到了医生的电话。大意就是, 诊断结果为：耳鸣。嗯, 这个自从娃跟我说了症状后, 我就知道这叫耳鸣了好吧？接下来要怎么办呢？医生就说如果娃还提起耳鸣, 就分散他注意力, 最终会不会好看造化。也叫无为而治吧。

这在国内分分钟搞定的检查拖了大半年才算是有个说法, 如果万一真有什么事岂不是早就被耽误了？
#医疗# 收起全文d"
527,
528,"【巴彦淖尔市医院“医改十问” ⑤：住院费究竟涨了还是降了？】 2019年底，肺癌患者王女士再次到巴彦淖尔市医院住院半个月。这一次，她感觉花的费用比起3年前少了很多，药品便宜了，医用耗材也便宜了。医保报销完对比一下，现在住院吃药每月比以前少花近600元。

王女士的感受是，吃穿用的物品都在涨价，住院、吃药费用居然降了这么多。对于经常住院的王女士来说，一次少花五六百元，一年也省不少。 #巴彦淖尔身边事# #内蒙古新闻# #医疗# @巴彦淖尔那些事 @巴彦淖尔晚报 @巴彦淖尔日报蒙文版 @巴彦淖尔观察 @巴彦淖尔发布 @巴彦淖尔生活@法治巴彦淖尔 @巴彦淖尔政法委 @掌上乌拉特前旗 @乌拉特中旗新鲜事 @活力杭锦后旗 @五原县的那些事儿 @内蒙古县域 @内蒙古新闻 @新浪内蒙古 @新浪内蒙古资讯 L巴彦淖尔日报社的微博视频 收起全文d"
529,"【#香港#亚洲#医疗#集团#抗击疫情#纪录片 第一集】
武汉亚心总医院，在疫情中无外部医疗队支援的民营医院。
如何解决物资紧缺，如何面对人员紧张，如何进行病房改造，如何顺利复工复产。
这些难题我们是如何自己解决的。 L纪录片之声的微博视频"
530,发布了头条文章：《福特全顺救护车–外观时尚且实用》 #救护车##急救车##120急救##院前急救##急救设备有望成公共场所标配# #医疗# #医疗设备# O福特全顺救护车–外观时尚且实用
531,
532,【抗寄生虫药物或将成为新药来应对新冠肺炎】伊维菌素Ivermectin是抗寄生虫药物，由诺贝尔生理医学奖得主大村智研发，将伊维菌素投与试管里的新型冠状病毒后，不足48小时，病毒便停止了增殖，澳大利亚蒙纳许大学研究团队发表上述研究成果并称将尽快展开临床实验。 #日本疫情##医疗##健康##海外医疗# 收起全文d
533,坏消息!#英国首相#新冠病情加重，进入ICU病房，#英国##医疗#不行吗？ L今日湘港的微博视频
534,美军投入10艘医疗船，每艘等于一个雷神山？结果一共就收治35人#美国# #医疗# @微博视频 L照理说事的微博视频
535,发布了头条文章：《疫情危机下，人在海外不能回国，如何快速获得当地优质的医疗保障？》 #保险# #医疗# #海外疫情# #疫情# #健康# #保障# #涨知识# O疫情危机下，人在海外不能回国，如何快速获得当地优质的医疗保障？
536,
537,"每天，都有太多人在重复问我同一个问题：

见下面配图照片内的提问！

我就是不怕麻烦，因为，所有人都应该知道，你们天天希望知道的抗炎药其实不是 阿莫西林，不是 头孢，不是 阿奇霉素，这些药物根本不是抗炎药！没有抗炎作用！这些药物是抗菌的！

而，抗炎药是：

布洛芬是抗炎药，

炎症主要表现就是：红 肿 热 痛，

因此 你可以说：

布洛芬是 退烧药，是止痛药，是消肿药，

就像你在说，北京人，上海人，广州人，他们都是中国🇨🇳人，

因此，如果你问我，布洛芬不是止痛药吗？怎么又是退烧药了？

我反问你：

中国人里有北京人，怎么中国人里还有广州人？

希望大家能够帮助转发，让更多的人，不吃错药

#健康中国2030# #我的健康十八式# #退烧# #健康养生# #健康生活# #健康一春# #医疗#
@每日医学资讯
@爱问医生
@爱问医生 @新浪爱问医生 收起全文d"
538,
539,"#医疗##板块VS个股#
最近在看常出现天书般专业名词的医疗医药板块，这个板块被提及频率极高，但经常被忽略的是它其实包括了两个差异很大的细分领域——药和械。
对于投个股的投资者，收益更多来自医药生科细分领域中“赢者通吃”的龙头公司，而对于配置板块的投资者，收益则主要来自于政策红利显著、更加贴近“中国制造2025”主题的医疗器械细分领域。

看完天书晕晕睡去 收起全文d"
540,
541,#六盘水身边事# #民生# #医疗# 【转扩丨贵州确定39个“福康工程”项目定点机构！六盘水定点医院在这里→】#六盘水同城# #六盘水发布# #关注# 4月17日，根据《民政部办公厅关于在脱贫攻坚中做好“福康工程”项目实施工作的通知》、《“福康工程”项目实施管理办法(试行)》等相关文件规定，贵州确定了39个“福康工程”项目定点机构。详情请戳微信链接☞O转扩丨贵州确定39个“福康工程”项目定点机构！六盘水定点医院在这里→ 收起全文d
542,
543,"招商信诺自在人生A养老年金险的缴费方式为“年交”、“半年交”、“季交”、“月交”四种形式。
缴费期间可选10年、15年、20年。

在领取时，招商信诺自在人生A养老年金险最早55岁就可以领取了，55岁、60岁、65周岁三个领取时间任意选择。

如果你想要早一点退休，早一点开始领养老金，不用担心基本的生活费用问题，那么招商信诺自在人生A养老年金险，OK的~

详情:O网页链接

#医疗# #保险# #年金险# #理财# #保险知识# #好物推荐# #经济# 收起全文d"
544,美国确诊全球第一，医护肯定不够用，为何还有47000名医护被解雇@微博视频 #美国# #医疗# L照理拍案的微博视频
545,
546,"#港大新闻#【港大医学院研究显示新冠疫情下，急性中风病人平均延迟求医一小时，或影响治疗成效】中风是导致全球最多残障及第二多死亡的疾病。香港自第一宗新冠肺炎确诊个案起，医院的医疗服务一直受到疫情影响，但紧急治疗例如中风的医疗服务仍然得以维持。尽管如此，公众及病人可能因为疫情影响而讳疾忌医，耽误了治疗时机。港大医学院中风研究组分析73名于疫情首两个月的急性中风病人，发现他们比起去年同期入院的89位症状相近的病人，由病发至送抵达医院的时间平均延迟60分钟。内科学系临床助理教授刘巨基医生呼吁：即使在新冠肺炎疫情下，如有中风病征，应尽快求医，以获得更佳的治疗效果。详见：O网页链接
#医疗# #就医指南# #新冠肺炎最新动态# 收起全文d"
547,可以不用太低调，实力在这呢]#我怎么这么厉害# #牛# #科技# #黑科技# #人工智能# #医疗#
548,
549,【特朗普表示愿向俄罗斯提供呼吸机，俄回应：必要情况下愿接受提议】美国总统特朗普日前表示愿向俄罗斯提供呼吸机，以帮助俄方应对新冠肺炎疫情。针对美方的表态，俄总统新闻秘书佩斯科夫16日表示，俄方愿意在必要情况下接受美国的这一提议。佩斯科夫强调，特朗普在此前与普京的一次通话中就曾谈及向俄方提供帮助的意愿，俄方对美方关于提供呼吸机的提议持有“非常积极”的态度。另据俄罗斯媒体报道，今年4月，俄罗斯曾将一批医疗物资运抵美国，帮助美方抗击疫情。#环球要闻##医疗# L环球要闻Plus的微博视频 收起全文d
550,"日本国际医疗中心的国家医疗翻译养成讲座上一回考试合格率在75%，大家在疫情期间坚持学习，真的辛苦了！合格通过者会成为日本国际医疗中心华人救援医疗翻译登录者，由日本国际医疗中心派遣医疗翻译的口译和笔译工作！衷心祝贺！#日本疫情##医疗##健康##海外医疗#
——日本国际医疗中心·医疗翻译养成"
551,"老谢聊美国:在美国看病的的那些事. 从老谢在美国快二十年的经历中, 简单的聊一聊美国医疗和中国的不同的地方. 外加今天新闻快讯的短评, 还有如果大家来美国旅行, 需要看病, 应该怎么办. #美国疫情# #美国# #医疗# #看病难看病贵看病累# #医药# L旅美摄影师_谢的微博视频"
552,一直在为意大利的疫情感到揪心，崩溃的#医疗#系统，自杀的护士，守护因疫情死亡在家的癫痫病姐姐的弟弟，还有教堂堆积如山的尸体，无论怎么恐怖的字词在这里都是#事实#。如今看见他们灿烂的笑容，#中国#无私的助力，带来#希望#和阳光，希望这样的笑容越来越多出现在#浪漫#、自由的意大利街头，加油！
553,
554,【 #意大利医护用中文感谢中国爱心人士捐赠#：我们一定会打败病毒】近日，一位中国捐助者向意大利米兰萨科医院捐赠了1万个外科口罩，为表感激，医院工作人员制作了视频。视频中，朱塞佩全程用中文讲话，并配上英、中、意三语字幕，“我们学会了不管朋友身在多远，随时都能互相支持。我和我的同事，意大利米兰萨科医院的医生们和医护人员都想对您表示衷心的感谢。”他的同事们也纷纷出镜，用中文说“谢谢”。（视频来源 Giuseppe Croce的社交媒体）@中新视频 L中新视频的秒拍视频 收起全文d
555,
556,"买保险其实就是买了一份合同，一份保险公司出据的保险责任，一份家庭未来的风险保障。
首先，要看重疾险合同的条款，主要包括保险责任、免赔责任、赔付约定等。其实就是与保险公司约定什么情况下赔，什么情况下不赔，怎么赔。例如给孩子买重疾险#医疗# 就要更多关注婴幼儿和青少年期高发疾病的保障；成人重疾险基本都有寿险责任，那么就要看重疾险和寿险的免赔条款，免赔条款数越少获得理赔的可能性就越大。
其次，不论你买的是什么保险都要考虑保险公司的合同履约能力，所以这时候就要看该公司客户的获赔率；公司的契约精神，公司在重大事件发生时的履约行为，例如马航客机失事事件。#保险#
第三，买重疾还需要考虑自己家庭的情况，包括经济收入、家庭成员、家族遗传、生活习惯、就业环境等等，例如家庭成员有移民#移民# 或海外生活的计划的，就需要一份全球通赔的重疾险。
欢迎大家关注，一起探讨保险知识。 O想给自己买一份重疾险，该怎么选择保险公司？ 收起全文d"
557,
558,"【巴彦淖尔市医院“医改十问” ③：公立医院的公益性体现在哪里？】公益性是公立医院的基本属性，在医改中，如何既让公立医院回归公益性，又能保证医院自身的健康发展，这是个两难问题。

巴彦淖尔市医院作为我市最大的一家公立医院，在医改中坚持公益性，始终把维护人民健康权益、社会效益放在首位，通过医疗资源的公平配置、患者对基本医疗的平等享用、提高医院服务效率来达到保障人民健康的目标。市医院医改中不改公立医院公益性本色的一系列举措给群众带来了更多实惠。 #巴彦淖尔身边事# #内蒙古新闻# #医疗# @巴彦淖尔那些事 @巴彦淖尔晚报 @巴彦淖尔日报蒙文版 @巴彦淖尔观察 @巴彦淖尔发布 @巴彦淖尔生活@法治巴彦淖尔 @巴彦淖尔政法委 @掌上乌拉特前旗 @乌拉特中旗新鲜事 @活力杭锦后旗 @五原县的那些事儿 @内蒙古县域 @内蒙古新闻 @新浪内蒙古 @新浪内蒙古资讯 L巴彦淖尔日报社的微博视频 收起全文d"
559,
560,#人工智能# #医疗# 【干货丨信通院孙明俊：人工智能进入后深度学习时代，AI+医疗期待大数据引爆】O网页链接年3月21日，中国信息通信研究院云计算与大数据研究所人工智能部主任孙明俊做客“CAA云讲座”，为大家带来一场题为“人工智能发展趋势及在疫情中的应用”的报告。报告介绍了目前人工智能技术发展趋势以及我国人工智能产业发展现状，疫情对于人工智能的中小企业的影响分析及应对建议。 收起全文d
561,
562,有些疑难的整形病例，仅凭我一己之力，已经难以完美做到。我会联系国内的其他专家进行讨论。如果国内专家也没有更好办法的话，最后一步就是和国外专家一起讨论了。图中的这位求诊者，在此前的若干次外院手术后，想修复耻骨上区为更加自然的状态，但是因为既往手术瘢痕的问题，造成修复有难度，多次专家讨论后还是没有形成统一意见。为此，我也就硬着头皮向国外专家发邮件看看他们的意见如何每一次疑难病例的解决，就意味着自己的一次提升。在日本，特别看中大学医院的地位，如果各位看过日本版《白色巨塔》的话，就会了解到日本大学医院的重要角色。#疑难杂症##私密整形##医疗# 收起全文d
563,"哪些药物 可以雾化？这些知识，真的很重要！ L意大利华裔郭医生的微博视频
#健康中国2030# #我的健康十八式# #健康# #医疗# #健康养生# #健康生活# #健康一春#"
564,"战疫过后，医疗机器人的下一个机会将在随之而来的“老龄化”特别是To C领域引爆。
语音交互、图像识别和云计算的应用场景已显现，但智能深度学习能力还需不断叠代。
#多国推行医疗机器人抗疫##医疗机器人##机器人##医疗##人工智能机器人# 2上海·瑞金医院 LXuJixu的微博视频"
565,
566,"【聚焦医改 回应民生 | 巴彦淖尔市医院“医改十问” ②：看病难真的解决了吗？】排队挂号、等待就诊、等待化验结果、排队缴费、排队取药……到医院看病，漫长的过程让许多人发怵。但是这样的情景在巴彦淖尔市医院已经成为历史。

近年，巴彦淖尔市医院改善服务流程、创新方便群众就诊的措施，将“智慧医疗”贯穿于院前、院中、院后服务全流程，借助信息化手段，用“机器跑”“数据跑”“网上跑”代替“患者跑”，有效构建全程一体、协同高效的诊疗服务新模式，切实改善患者就医“三长一短”现象，减少排队次数，缩短候诊时间，为患者提供更加便捷优质的医疗服务。 更多详情请点击链接查看O聚焦医改 回应民生 | 巴彦淖尔市医院“医改十问” ②：看病难真的解决了吗？ #巴彦淖尔身边事# #内蒙古新闻# #医疗# @巴彦淖尔那些事 @巴彦淖尔晚报 @巴彦淖尔日报蒙文版 @巴彦淖尔观察 @巴彦淖尔发布 @巴彦淖尔生活@法治巴彦淖尔 @巴彦淖尔政法委 @掌上乌拉特前旗 @乌拉特中旗新鲜事 @活力杭锦后旗 @五原县的那些事儿 @内蒙古县域 @内蒙古新闻 @新浪内蒙古 @新浪内蒙古资讯 L巴彦淖尔日报社的微博视频 收起全文d"
567,
568,当前整个市场做多动能还很弱！只有40%的做多力度。当下随着疫情的蔓延和消化。各大市场已经过度了那个恐慌时期。虽然国内已经基本恢复正常了，但国外还仍处于爆发期！预计A股接下来还将继续磨盘，在2500点到3000点震荡运行！毕竟目前市场方向还并不明朗，唯一支撑A股运行的只有自身的价值！3000点下方是一个价值洼地！3000点下方不要恐慌，精选个股，大胆干即可！纵观近十三年的A股，跌破3000点的区域，越来越少！而疫情过后，也是全体复兴的时候！我预计，这一次的行情是可以载入A股的赚钱行情！！！上证指数 sh000001 #医疗# #医药# #致敬疫情前线医护人员# 收起全文d
569,"全球疫情确诊数，仍在快速增长！尤其欧美地区！树欲静而风不止……希望全球能够早日战胜疫情！

给大家梳理了几只关于疫情防护类个股！你们看好哪只？#美国新冠肺炎死亡2.3万##医疗##医药##致敬疫情前线医护人员##黑龙江新增79例境外输入病例# 你们看好哪只呢？请投票！"
570,
571,"因为寿命的延长，中国老龄化现象非常严重，中国不得不开放二胎等等。所以虽然我们身边很多朋友现在还没有家庭，但是已经开始计划起了老年生活了，毕竟按照这样的发展情况，感觉活个90岁完全是没有问题的。

然后很多朋友就开始为以后老年生活焦虑了起来，毕竟光是靠社保其实真的完全不够用，现在社保的替代率大约只有42%左右。

根据世界银行组织建议：要基本维持退休前的生活水平不下降，养老金替代率须不低于70%，国际劳工组织建议养老金替代率最低标准为45%~55%。这时候商业保险也是个好的选择，现如今国家也在大力支持商业保险行业。
#年金险##保险##理财##养老##医疗##涨姿势# 收起全文d"
572,
573,"#副业推荐#「只‮你要‬願意相信它就‮真係‬的」 ͏
做了7年魔‮師術‬Jane也被BMU所吸引‮自，‬己本身有一班‮端高‬的客戶，‮公司‬產品可以令‮更佢‬好地運用‮資到‬源、佢會用120分的力‮去量‬做這個生意，去‮助幫‬有需要的人！💪[玫瑰]歡迎各界人士加入大健康興業#医疗##医美##副业刚需##没搞副业的我太难了##在职员工该不该搞副业# L香港仁和体检HPV疫苗预约Angel的微博视频 收起全文d"
574,发布了头条文章：《上海市抗癌协会发布2020版《居民常见恶性肿瘤筛查和预防推荐》》 #科普# #癌症# #防癌##涨知识# #健康# #养生##医疗# O上海市抗癌协会发布2020版《居民常见恶性肿瘤筛查和预防推荐》
575,#小医生日常##医患关系##医疗# 身边的真实“段子”
576,#医疗##机器人# 【医疗下肢康复机器人】Hocoma AG公司总部位于瑞士，是全球第一的医疗健康机器人品牌。 L工业互联网科技的微博视频
577,
578,"【深度帮扶合作 提高综合医疗水平】前不久，59岁的罗发德因病住进了楚雄市人民医院，经检查，诊断为食管中下段有恶性肿瘤，3月20日，在楚雄市人民医院进行了手术治疗。自2018年7月楚雄市人民医院与昆明医科大学第一附属医院达成深度帮扶合作以来，医疗水平不断提高，此次手术，也是市医院外一科独立完成的第二例中下段食管癌根治术，标志着医院在这一领域迈上了新的台阶。（记者：朱源彬,杨晓雷）#楚雄# #云南身边事# #云南# #医疗# 收起全文d"
579,美国普通的城市，医院密度瞧一下，所以呢老美医疗资源真的牛皮，不酸不行，而且标准化模式配套商业医疗公共服务设施，城市规划真的为城市服务。#美国疫情##城市规划##医疗#
580,
581,"心血管疾病受季节变化影响很大 #健康# #心血管# #医疗#

秋冬季节温差变化，冷暖反复无常，是致使心血管疾病多发时节；患有高血压、高血脂、高血糖等疾病以及肥胖的人群都属于高危人群。虽然高发季多为秋冬，但并不意味着其余时期就能掉以轻心；保护心血管、预防心肌梗死的意识应该深植心中。在日常生活当中要养成良好的生活方式和饮食习惯，适当锻炼，学习或了解心血管方面的相关知识，尤其是高危人群更应做好疾病的自我保健和预防。心血管疾病患者定期复查，合理服用药物，如有异常情况要及时就诊。 收起全文d"
582,
583,"这些社保都不能报销‼️

在罹患重疾后，会产生直接医疗费用和间接医药费用。直接医疗费用就是治疗所需费用，而间接医疗费用则包括❌护理费、❌营养费、❌康复后的休养费和生病期间的收入损失。

社保只能报销直接医疗费用！众所周知，罹患重疾后，许多❌进口药比起国产药，效果好，无副作用。但是进口药价格很贵，社保也不能报销！此外，一些检查，如❌核磁共振、伽马刀等，以及一些❌专家诊疗、高新尖诊疗技术等，社保也是不能报销的！

罹患重疾后才发现，真正有效的药物、治疗都是需要自费💰的！就算有钱治病，康复后需要的间接医疗费用更是无底洞！

而这时候，商业保险的作用就体现出来了！只要提前备好重疾险，只要确诊重疾，保险就会直接赔付你几十万甚至更多，就算罹患重疾，你也不必再担心自费药贵，不必担心请护工没钱、休养没钱，更不必担心治病时失去工作收入！

所以，如果生病住院，社保只能保障部分医疗费，个人还得掏钱的。现在随便生个小病看门诊，个人可能都得掏几百块，不敢想象若大病降临，给家庭带来的是多大的经济负担！一场大病导致家庭破产的案例太多，而商业保险就是避免因病致贫的最好武器。
#健康##癌症##新冠肺炎##重疾保险##医疗##美元##股票#保险#今日看盘##A股##香港友邦保险##保险##香港保险##投资# 2香港 收起全文d"
584,
585,"【聚焦医改 回应民生 | 巴彦淖尔市医院“医改十问” ①：药价，真的降下来了吗？】临河区干召庙镇西梁村一组村民高霞在市医院买完药后，发现交款凭证上第五行是“西药优惠：30.29元”，第九行是“西药优惠由医院与华润公司联合提供”，他对此有点疑惑：“西药优惠是什么意思？”

巴彦淖尔市医院药房工作人员为他作了解答：“我们医院是医联体带量采购，华润内蒙古医药有限公司是市医院药品主供应商，每月带量采购金额达到2000万元，华润公司将给医院返还3%，医院将返点红利全部让利患者。你的药费应是1009.8元，我们让利3%，就是30.29元，你实际交了979.51元。”

听了药房工作人员的解答后，高霞深有感触地说：“把到手的红利再让给患者，不愧是公立医院。” 更多详情请点击链接查看 O聚焦医改 回应民生 | 巴彦淖尔市医院“医改十问” ①：药价，真的降下来了吗？ #巴彦淖尔身边事# #内蒙古新闻# #医疗# @巴彦淖尔那些事 @巴彦淖尔晚报 @巴彦淖尔日报蒙文版 @巴彦淖尔观察 @巴彦淖尔发布 @巴彦淖尔生活@法治巴彦淖尔 @巴彦淖尔政法委 @掌上乌拉特前旗 @乌拉特中旗新鲜事 @活力杭锦后旗 @五原县的那些事儿 @内蒙古县域 @内蒙古新闻 @新浪内蒙古 @新浪内蒙古资讯 L巴彦淖尔日报社的微博视频 收起全文d"
586,"#保险##健康##医疗##抗疫行动##同济医院#
央视再次导播
泰实力，康国力
危难当头，匹夫有责 LWinfred文晖的微博视频"
587,
588,"#口罩# 医疗物资商业出口工作机制发布通报：“由于在开展防疫用品出口过程中，有的企业因产品质量问题被外方退货，扰乱防疫用品出口秩序，严重影响国家形象。现停止北京启迪区块链科技发展有限公司、爱宝达科技（深圳）有限公司防疫用品出口”。
这种企业就是祸害，并且丢脸到了全世界，是应该整治处罚追究。但是，解决问题要从源头抓起，口罩的核心是那块布料（熔喷布），价格炒的非常高，现在很多小作坊都在做这种熔喷布，粗制滥造能合格吗。#商务部停止两家公司防疫物品出口##医疗# 收起全文d"
589,
590,今天下班前收到植田医院特意打过来的电话，说“今天的患者我们的前期对应很及时，现场的电话翻译也很专业，非常感谢我们日本国际医疗中心华人救援团队的付出！”这已经是第五次收到医院回馈的感谢了，疫情期间，日本国际医疗中心全体人员不会休业，每一天都会全身心应对每一位求援者！在此也特别感谢所有支持我们的人！因为有你们，才有我们的坚持和初衷！#日本疫情##医疗##健康##海外医疗# 收起全文d
591,
592,我想爆料本地工商局，卫生局，不作为，推脱消费者，收钱不办事，得用什么渠道爆出来啊，有可靠的大V推荐吗，或者别的方法，那些人太可气了，给科长塞了钱，都联络好了的，一起欺负人#医疗##医疗美容##医疗欺诈##合同欺诈##行为欺诈##虚假宣传##工商局##长春爆料##整形##长春身边事##12315消费者维权投诉##医疗事故# 收起全文d
593,
594,"处置过期药品： #健康# #医疗#
1.药物回收点：
有的社区设有过期药品回收点，可把家中过期药整理投入过期药品回收箱中，相关人员会定期清理箱中药品，做统一销毁处理。
2.送到医院或药店：
如果小区没有设立药品回收点，可以咨询药店或者医院，一些药店或三甲医院都回收过期药。
3. 自行处理方法：
对于普通片剂，可先用水充分泡开，然后倒入厕所冲走。胶囊剂要先把胶囊掰开，将其中的颗粒加水溶解后再倒进厕所冲走。喷雾剂应避免接触明火，彻底排空内容物后，再将瓶子丢弃。抗生素、肿瘤用药和其他特殊药品的处理前应咨询医生或药师，以免对环境造成污染。 收起全文d"
595,再一次提示，我的波段股建仓了工程机械！！！很多人说我老拿黄金和医疗吹牛13，俺想用工程机械在把他的脸打肿！！！#黄金# #医疗# #工程机械# 山东黄金 sh600547
596,
597,"#医疗##口罩#
据中新社，阿里巴巴旗下跨境零售平台速卖通数据显示，目前韩国口罩销量回落，西班牙、美国的销量则分别上涨超过400倍和280倍。

业内人士表示，伴随全球疫情加剧，联防联控机制宣布已有超过100个国家向我国提出物资进口需求，主要涉及防疫相关的医疗器械。因此，具备丰富产能以及相关市场准入资格的企业业绩将有望受益于海外需求提升，并能顺势拓展全球市场，利好未来发展。

公司方面，奥美医疗（002950）主营医用敷料等一次性医用耗材的研发、生产，为国际知名医疗器械品牌厂商提供OEM贴牌服务。振德医疗（603301）医用敷料行业龙头，产品涵盖现代伤口敷料、手术感控、传统伤口护理、压力治疗与固定产品，公司2018年境外营收占比达到68%。 收起全文d"
598,口罩工厂kn95，满足出口（清关），证书，计量院的检测报告都有，满足4月1日起出口要求。日产200有实力的可以来谈，问价的中间就不要来啦，你的价我就知道你真假#n95口罩 kn95口罩##口罩##医疗##kn95口罩#
599,4月1日至12日期间，中国出口了价值165.6亿元人民币(约合23.5亿美元)的医疗用品，这显示了中国的医疗产品在全球对抗COVID19的重要性，以及中国作为一个负责任国家的承诺:海关总署官员#医疗##新型冠状病毒#
600,
601,"🌻4月13日微语微报，星期一，每天1分钟，掌握天下事！☀️☀️☀️
1、疫情动态：截止4月12日22:20，全国#新冠肺炎# 现有确诊病例2113人，境外输入1280，疑似病例82，累计治愈病例78062人，死亡病例3349人；
2、委内瑞拉为#中国# 医疗专家组全体成员授勋；
3、#东京奥运# 圣火保存地点保密，IOC:奥运闭幕前不能灭 ；
4、#生态环境# 部：全国#医疗# 废物处置能力为每天6074吨；
5、#湖北# 粮食库存可供消费一年以上 435家粮油企业承诺不涨价；
6、民政部：低风险地区可允许相关人员和车辆进入社区；
7、农业#农村# 部：今年中央财政一百多亿支持农村厕所革命；
8、国家卫健委：要做好较长时间应对境外#疫情# 输入的工作准备；
9、“高管养父性侵案”受害者：母亲和他是恋人，未领证；
10、全国30省市中学毕业年级明确#开学# 时间，仅余1省未公布；
11、180名中国留学生抵达#上海# ，将全部接受核酸检测；
12、#四川# 成立西昌19死火灾事故调查组：尽快查明原因。
❤️❤️微语❤️❤️
每个人都有潜在的#能量# ，只是很容易被习惯所#掩盖# ，被时间所迷离，被惰性所#消磨# 。 收起全文d"
602,我想请问～口罩属于医疗用品～这个车间的制作工人～头发外露～不戴手套～符合一个医疗器械用品的制作标准么？#奇姐小日子##奇姐心声语录##回国集中隔离14天日志##口罩##医疗##口罩标准##浙江发布首个儿童口罩团体标准#
603,
604,"预定利率4.025%年金险之：招商信诺自在人生
可能你现在觉得4%的利率不高。但是等再过5年，整个市场都是0利率甚至负利率的时候，你就知道它的宝贵了。
其实不用5年，再过几天，这么高收益的年金险就没了。

1、终身型年金险，确定给付收益。远离市场波动风险，提前锁定稳固未来。

2、自在人生A款保证领取20年，且保证领取期间现金价值不为0，但身故金为0。

3、自在人生A款每年领取多，很适合作为晚年退休生活费的补充。灵活选择性高。

产品详情：O网页链接

#医疗# #保险# #健康# #保险知识# #好物推荐# #财经# 收起全文d"
605,俄罗斯布拉戈维申斯克海关报告称，今年第一季度，俄对华贸易同比增长35.2%，达到9950万美元。仅4月1日至8日，中国就通过黑河布拉戈维申斯克港向俄罗斯运送了203多吨医疗防疫物资。#俄罗斯##黑河##医疗#
606,"今天日本国际医疗中心的医疗翻译养成授课围绕日本国家医疗翻译考试的考试范围，面试临场模拟演练、细节把握等方面进行一对一授课，从紧张到从容，是每一位译者的必经之路！#日本疫情##医疗##健康##海外医疗画报#
——-日本国际医疗中心·医疗翻译养成"
607,手术外衣，。呼吸机，一次性民用医用口罩，防护服，一次性医用手套，无纺布，，有实力并且需要的联系#医疗##口罩##无纺布##医用手套##防护服# 2北京·胜古家园
608,#治愈者女儿哽咽致谢医疗队# 一声谢谢，“是你让我还有妈妈，不然就没妈妈了”。 戳↓↓#医疗# L五加红的微博视频
609,大家早上好！疫情持续爆发期间，目前唯一能够持续性热点的板块唯有，医疗医药，食品。在全球疫情峰值未到达前，可持续关注这两大板块！另外，受国内需求影响，5G，芯片，元器件，也可以波段操作！目前行情！仅建议操作这几个板块为宜！#医药##医疗# #5G# 上证指数 sh000001
610,
